migration_id,source_url,source_domain,source_locale,source_type,source_status,target_url,target_locale,target_type,action,redirect_code,equivalence,priority,migration_status,validation_status,source_evidence,owner,notes,validated_on,deployed_on
MIG-001,https://flat-cms.fr/,flat-cms.fr,fr-FR,landing_page,200 vérifié,https://flat-cms.fr/fr-FR/,fr-FR,homepage,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/,À attribuer,La future page d’accueil localisée remplace la landing page actuelle.,,
MIG-002,https://flat-cms.fr/index.php,flat-cms.fr,fr-FR,landing_page_alias,À vérifier,https://flat-cms.fr/fr-FR/,fr-FR,homepage,redirect,301,exacte,P0,planned,source_to_verify,https://flat-cms.fr/,À attribuer,Alias probable du front controller actuel. Tester sans paramètres avant mise en production.,,
MIG-003,https://flat-cms.fr/index.php?p=roadmap,flat-cms.fr,fr-FR,roadmap,200 vérifié,https://flat-cms.fr/fr-FR/roadmap/,fr-FR,roadmap,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/index.php?p=roadmap,À attribuer,Conserver la page uniquement si la roadmap définitive est publiée.,,
MIG-004,https://flat-cms.fr/index.php?p=terms,flat-cms.fr,fr-FR,legal_notice,liée depuis la landing,https://flat-cms.fr/fr-FR/mentions-legales/,fr-FR,legal_notice,redirect,301,exacte,P0,ready_for_implementation,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Ne déployer la cible qu’après finalisation de la structure juridique et suppression des placeholders.,,
MIG-005,https://flat-cms.fr/index.php?p=policy,flat-cms.fr,fr-FR,privacy_policy,200 vérifié,https://flat-cms.fr/fr-FR/confidentialite/,fr-FR,privacy_policy,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/index.php?p=policy,À attribuer,La politique actuelle doit être remplacée par la version juridiquement validée.,,
MIG-006,https://wiki.flat-cms.fr/,wiki.flat-cms.fr,fr-FR,wiki_root,liée depuis la landing,https://flat-cms.fr/fr-FR/documentation/,fr-FR,documentation_hub,redirect,301,proche,P0,ready_for_audit,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Confirmer la page d’accueil réelle du wiki avant activation.,,
MIG-007,https://wiki.flat-cms.fr/fr-FR/,wiki.flat-cms.fr,fr-FR,wiki_locale_root,À vérifier,https://flat-cms.fr/fr-FR/documentation/,fr-FR,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/fr-FR/,À attribuer,Racine documentaire française.,,
MIG-008,https://wiki.flat-cms.fr/en-US/,wiki.flat-cms.fr,en-US,wiki_locale_root,À vérifier,https://flat-cms.fr/en-US/documentation/,en-US,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/en-US/,À attribuer,Racine documentaire anglaise.,,
MIG-009,https://wiki.flat-cms.fr/de-DE/,wiki.flat-cms.fr,de-DE,wiki_locale_root,À vérifier,https://flat-cms.fr/de-DE/dokumentation/,de-DE,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/de-DE/,À attribuer,Valider le slug allemand définitif avec MULTILINGUAL.md.,,
MIG-010,https://wiki.flat-cms.fr/es-ES/,wiki.flat-cms.fr,es-ES,wiki_locale_root,À vérifier,https://flat-cms.fr/es-ES/documentacion/,es-ES,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/es-ES/,À attribuer,Valider le slug espagnol définitif.,,
